"","Symbol","Bid.Price","Ask.Price","High","Low","TimeStamp"
"1","EUR/USD",1.12569,1.12573,1.12702,1.11682,2020-06-22 18:02:05
"11","EUR/USD",1.12569,1.12573,1.12702,1.11682,2020-06-22 18:03:05
"12","EUR/USD",1.12569,1.12573,1.12702,1.11682,2020-06-22 18:04:05
"13","EUR/USD",1.12583,1.12587,1.12702,1.11682,2020-06-22 18:05:06
"14","EUR/USD",1.12589,1.12594,1.12702,1.11682,2020-06-22 18:06:06
"15","EUR/USD",1.12589,1.12594,1.12702,1.11682,2020-06-22 18:07:06
"16","EUR/USD",1.12595,1.12598,1.12702,1.11682,2020-06-22 18:08:06
"17","EUR/USD",1.12593,1.12598,1.12702,1.11682,2020-06-22 18:09:07
"18","EUR/USD",1.12592,1.12596,1.12702,1.11682,2020-06-22 18:10:07
"19","EUR/USD",1.12593,1.12596,1.12702,1.11682,2020-06-22 18:11:06
"110","EUR/USD",1.12585,1.1259,1.12702,1.11682,2020-06-22 18:12:07
"111","EUR/USD",1.12589,1.12593,1.12702,1.11682,2020-06-22 18:13:08
"112","EUR/USD",1.12583,1.12588,1.12702,1.11682,2020-06-22 18:14:07
"113","EUR/USD",1.12595,1.12597,1.12702,1.11682,2020-06-22 18:15:08
"114","EUR/USD",1.12589,1.12594,1.12702,1.11682,2020-06-22 18:16:07
"115","EUR/USD",1.12595,1.12597,1.12702,1.11682,2020-06-22 18:17:08
"116","EUR/USD",1.12589,1.12594,1.12702,1.11682,2020-06-22 18:18:08
"117","EUR/USD",1.12589,1.12594,1.12702,1.11682,2020-06-22 18:19:09
"118","EUR/USD",1.12589,1.12594,1.12702,1.11682,2020-06-22 18:20:09
"119","EUR/USD",1.12579,1.12584,1.12702,1.11682,2020-06-22 18:21:09
"120","EUR/USD",1.1259,1.12596,1.12702,1.11682,2020-06-22 18:22:08
"121","EUR/USD",1.12585,1.1259,1.12702,1.11682,2020-06-22 18:23:10
"122","EUR/USD",1.12579,1.12584,1.12702,1.11682,2020-06-22 18:24:10
"123","EUR/USD",1.12579,1.12583,1.12702,1.11682,2020-06-22 18:25:10
"124","EUR/USD",1.12585,1.12588,1.12702,1.11682,2020-06-22 18:26:11
"125","EUR/USD",1.12589,1.12593,1.12702,1.11682,2020-06-22 18:27:11
"126","EUR/USD",1.12583,1.12588,1.12702,1.11682,2020-06-22 18:28:11
"127","EUR/USD",1.12585,1.1259,1.12702,1.11682,2020-06-22 18:29:11
"128","EUR/USD",1.12585,1.1259,1.12702,1.11682,2020-06-22 18:30:09
"129","EUR/USD",1.12585,1.12588,1.12702,1.11682,2020-06-22 18:31:10
"130","EUR/USD",1.12585,1.12588,1.12702,1.11682,2020-06-22 18:32:12
"131","EUR/USD",1.12585,1.12588,1.12702,1.11682,2020-06-22 18:33:12
"132","EUR/USD",1.12585,1.12588,1.12702,1.11682,2020-06-22 18:34:09
"133","EUR/USD",1.12599,1.12604,1.12702,1.11682,2020-06-22 18:35:11
"134","EUR/USD",1.12599,1.12604,1.12702,1.11682,2020-06-22 18:36:12
"135","EUR/USD",1.12607,1.12611,1.12702,1.11682,2020-06-22 18:37:13
"136","EUR/USD",1.12614,1.12618,1.12702,1.11682,2020-06-22 18:38:13
"137","EUR/USD",1.12624,1.1263,1.12702,1.11682,2020-06-22 18:39:14
"138","EUR/USD",1.12623,1.12628,1.12702,1.11682,2020-06-22 18:40:14
"139","EUR/USD",1.12621,1.12625,1.12702,1.11682,2020-06-22 18:41:12
"140","EUR/USD",1.1262,1.12624,1.12702,1.11682,2020-06-22 18:42:12
"141","EUR/USD",1.12616,1.1262,1.12702,1.11682,2020-06-22 18:43:14
"142","EUR/USD",1.12613,1.12617,1.12702,1.11682,2020-06-22 18:44:15
"143","EUR/USD",1.12616,1.12618,1.12702,1.11682,2020-06-22 18:45:15
"144","EUR/USD",1.1261,1.12614,1.12702,1.11682,2020-06-22 18:46:15
"145","EUR/USD",1.1261,1.12615,1.12702,1.11682,2020-06-22 18:47:15
"146","EUR/USD",1.1262,1.12624,1.12702,1.11682,2020-06-22 18:48:16
"147","EUR/USD",1.12609,1.12613,1.12702,1.11682,2020-06-22 18:49:16
"148","EUR/USD",1.12586,1.1259,1.12702,1.11682,2020-06-22 18:50:15
"149","EUR/USD",1.12593,1.12597,1.12702,1.11682,2020-06-22 18:51:16
